Trading_date,Trading_period,Node,Price
1/04/2020,1,OPK0331,61.1
1/04/2020,1,ORO1101,65.21
1/04/2020,1,ORO1102,65.3
1/04/2020,1,OTA0221,63.23
1/04/2020,1,OTA2201,63.05
1/04/2020,1,OTA2202,63.06
1/04/2020,1,OTI0111,60.08
1/04/2020,1,OWH0111,59.98
1/04/2020,1,PAK0331,63.09
1/04/2020,1,PAO1101,62.45
1/04/2020,1,PEN0221,63.59
1/04/2020,1,PEN0251,63.32
1/04/2020,1,PEN0331,63.47
1/04/2020,1,PEN1101,63.52
1/04/2020,1,PNI0331,60.23
1/04/2020,1,PPI2201,59
1/04/2020,1,PRM0331,60.15
1/04/2020,1,RDF0331,59.49
1/04/2020,1,RDF2201,59.33
1/04/2020,1,RFN1101,64.83
1/04/2020,1,RFN1102,65.26
1/04/2020,1,ROS0221,63.9
1/04/2020,1,ROS1101,63.86
1/04/2020,1,ROT0111,60.04
1/04/2020,1,ROT0331,60.06
1/04/2020,1,ROT1101,60.01
1/04/2020,1,ROX1101,58.82
1/04/2020,1,ROX2201,59.23
1/04/2020,1,RPO2201,59.02
1/04/2020,1,SBK0331,62.94
1/04/2020,1,SBK0661,62.9
1/04/2020,1,SDN0331,60.45
1/04/2020,1,SFD0331,61.04
1/04/2020,1,SFD2201,60.94
1/04/2020,1,STK0331,64.69
1/04/2020,1,STK0661,64.8
1/04/2020,1,STK2201,64.55
1/04/2020,1,STU0111,60.08
1/04/2020,1,SVL0331,63.69
1/04/2020,1,SWN0251,63.18
1/04/2020,1,SWN2201,63.14
1/04/2020,1,TAK0331,62.97
1/04/2020,1,TGA0111,60.35
1/04/2020,1,TGA0331,60.44
1/04/2020,1,THI2201,59
1/04/2020,1,TIM0111,60.39
1/04/2020,1,TKA0111,60.12
1/04/2020,1,TKA0331,60.16
1/04/2020,1,TKB2201,58.44
1/04/2020,1,TKR0331,60.18
1/04/2020,1,TKU0331,59.87
1/04/2020,1,TKU2201,59.82
1/04/2020,1,TMI0331,60.78
1/04/2020,1,TMK0331,61.08
1/04/2020,1,TMN0551,61.32
1/04/2020,1,TMU0111,62.07
1/04/2020,1,TMU1101,62.03
1/04/2020,1,TNG0111,59.57
1/04/2020,1,TNG0551,59.55
1/04/2020,1,TRK0111,59.95
1/04/2020,1,TRK2201,59.73
1/04/2020,1,TUI1101,60.25
1/04/2020,1,TWC2201,60.43
1/04/2020,1,TWH0331,61.68
1/04/2020,1,TWI2201,62.89
1/04/2020,1,TWZ0331,58.41
1/04/2020,1,UHT0331,60.2
1/04/2020,1,WAI0111,59.56
1/04/2020,1,WAI0501,59.61
1/04/2020,1,WDV0111,61.17
1/04/2020,1,WDV1101,61.15
1/04/2020,1,WEL0331,65.25
1/04/2020,1,WGN0331,60.97
1/04/2020,1,WHI0111,59.29
1/04/2020,1,WHI2201,59.27
1/04/2020,1,WHU0331,62.73
1/04/2020,1,WIL0331,60.15
1/04/2020,1,WIR0331,63.97
1/04/2020,1,WKM2201,59.55
1/04/2020,1,WKO0331,62.7
1/04/2020,1,WPA2201,59.51
1/04/2020,1,WPR0331,62.18
1/04/2020,1,WPR0661,61.99
1/04/2020,1,WPW0331,61.86
1/04/2020,1,WRD0331,63.63
1/04/2020,1,WRK0331,58.8
1/04/2020,1,WRK2201,58.97
1/04/2020,1,WTK0111,57.67
1/04/2020,1,WTK0331,57.73
1/04/2020,1,WTK2201,57.95
1/04/2020,1,WTU0331,59.53
1/04/2020,1,WVY0111,61.29
1/04/2020,1,WWD1102,60.24
1/04/2020,1,WWD1103,60.3
1/04/2020,2,ABY0111,56.84
1/04/2020,2,ALB0331,60.23
1/04/2020,2,ALB1101,60.2
1/04/2020,2,APS0111,55.85
1/04/2020,2,ARA2201,56.03
1/04/2020,2,ARG1101,59.93
1/04/2020,2,ARI1101,58.67
1/04/2020,2,ARI1102,58.4
1/04/2020,2,ASB0661,57.76
1/04/2020,2,ASY0111,59.73
1/04/2020,2,ATI2201,56.58
1/04/2020,2,ATU1101,59.98
1/04/2020,2,AVI2201,55.2
1/04/2020,2,BAL0331,60
1/04/2020,2,BDE0111,59
1/04/2020,2,BEN2201,55.32
1/04/2020,2,BEN2202,55.32
1/04/2020,2,BLN0331,61.03
1/04/2020,2,BOB0331,60.86
1/04/2020,2,BOB1101,60.82
1/04/2020,2,BPD1101,56.47
1/04/2020,2,BPE0331,57.59
