Year,Consumption.Commercial,Consumption.Industrial,Consumption.Residential
1960,179050,519914,579834
1961,193008,498129,617398
1962,205536,522323,659209
1963,210804,537170,663148
1964,208031,599578,660624
1965,221344,630366,701506
1966,247153,649311,722774
1967,253964,586910,723142
1968,258380,597840,744234
1969,263152,607898,758314
1970,274739,606625,776161
1971,280102,522814,776595
1972,285738,489304,801469
1973,283629,534533,777774
